CET,Temperatura maxC,Temperatura mediaC,Temperatura minC,Punto di rugiadaC,MeanDew PointC,Min DewpointC,Max Umidità, Mean Umidità, Min Umidità, Max Pressione a livello del marehPa, Mean Pressione a livello del marehPa, Min Pressione a livello del marehPa, Max VisibilitàKm, Mean VisibilitàKm, Min VisibilitàkM, Max Velocità del ventoKm/h, Mean Velocità del ventoKm/h, Max Velocità RafficaKm/h,Precipitazionimm, CloudCover, Eventi,WindDirDegrees
2015-8-21,26,22,17,16,14,13,83,63,37,1023,1021,1020,19,11,10,19,8,26,0.00,4,,118
2015-8-22,27,21,16,15,13,11,88,60,31,1022,1019,1016,19,12,10,11,6,29,0.00,3,,65
2015-8-23,21,18,16,16,14,12,94,77,51,1016,1015,1014,19,10,6,14,8,,0.00,6,Pioggia,12
2015-8-24,18,17,16,18,17,15,100,97,88,1014,1013,1011,6,4,1,13,8,34,0.00,8,Pioggia,21
2015-8-25,26,22,17,19,17,15,100,83,46,1018,1015,1013,14,6,1,11,5,,0.25,6,Nebbia-Pioggia,187
2015-8-26,27,21,15,18,17,15,100,77,44,1020,1019,1017,19,11,10,11,6,29,0.00,2,Nebbia,334
2015-8-27,29,22,15,18,16,15,100,71,34,1019,1018,1016,19,15,10,11,6,,0.00,1,,341
2015-8-28,30,23,17,18,17,16,94,67,38,1022,1020,1019,18,14,10,13,6,,0.00,1,,342
2015-8-29,31,24,18,20,18,17,100,69,34,1024,1022,1021,19,15,10,11,5,,0.00,1,,327
2015-8-30,31,24,17,19,17,14,94,66,26,1023,1021,1019,19,17,10,11,6,,0.00,1,,356
2015-8-31,31,24,17,18,16,14,88,64,28,1020,1017,1014,19,19,18,14,8,,0.00,,,336
2015-9-1,28,23,18,17,16,12,88,64,33,1016,1014,1012,19,11,10,21,8,,0.00,4,Temporale,360
2015-9-2,28,22,17,17,16,14,94,68,40,1013,1011,1010,14,10,10,13,6,27,0.00,3,Temporale,15
2015-9-3,25,21,17,17,15,12,88,72,47,1013,1012,1010,19,11,10,21,11,,0.00,5,Pioggia-Temporale,4
2015-9-4,25,19,12,16,13,11,94,68,40,1014,1012,1011,31,12,10,14,6,,0.00,2,,29
2015-9-5,23,19,14,16,12,2,100,69,26,1015,1011,1010,31,12,4,27,10,32,0.00,4,Pioggia-Temporale,9
2015-9-6,24,16,8,10,6,1,81,49,19,1020,1017,1015,,,,19,10,,0.00,,,323
2015-9-7,24,16,8,12,8,4,82,56,29,1021,1020,1019,19,13,10,14,6,,0.00,1,,6
2015-9-8,23,18,13,12,11,9,82,61,32,1023,1021,1018,19,12,10,14,8,,0.00,5,,33
2015-9-9,25,18,10,12,9,8,94,64,27,1020,1017,1015,19,13,10,11,6,35,0.00,1,,52
2015-9-10,22,18,15,13,9,6,82,57,30,1018,1017,1015,26,12,10,13,8,35,0.00,4,Pioggia,32
2015-9-11,21,17,13,13,11,9,88,63,40,1022,1020,1018,31,12,10,13,8,27,0.00,6,,23
2015-9-12,23,19,16,15,12,11,88,67,42,1023,1022,1021,31,11,10,13,8,,0.00,6,Pioggia,349
2015-9-13,19,17,16,17,15,14,94,91,82,1021,1017,1014,10,8,2,16,11,,0.00,8,Pioggia,1
2015-9-14,21,18,16,18,16,15,100,88,73,1010,1008,1007,10,7,2,24,10,32,0.00,5,Pioggia,100
2015-9-15,23,20,17,17,15,12,94,74,47,1012,1011,1010,23,11,10,16,8,39,0.00,5,,119
2015-9-16,18,17,15,17,16,14,100,94,82,1012,1011,1009,23,9,3,16,8,,0.00,7,Pioggia,351
2015-9-17,26,21,17,21,18,17,100,85,61,1010,1009,1006,14,8,3,14,6,,0.00,5,Pioggia,125
2015-9-18,26,20,14,17,14,12,94,71,44,1018,1014,1010,19,12,10,23,10,,0.00,3,,38
2015-9-19,24,17,10,13,11,8,96,66,37,1019,1017,1014,31,12,10,29,8,35,0.00,3,Temporale,340
2015-9-20,26,19,11,10,8,5,82,50,19,1017,1016,1015,31,16,10,21,10,32,0.00,3,,357
2015-9-21,24,17,9,14,10,7,88,67,36,1017,1015,1013,26,15,10,14,8,35,0.00,1,,8
2015-9-22,19,16,11,14,11,9,94,75,51,1013,1010,1006,26,13,10,13,6,,0.00,5,Pioggia,26
2015-9-23,15,13,10,14,10,6,95,79,49,1012,1006,1002,31,9,3,39,11,58,0.00,5,Pioggia-Temporale,13
2015-9-24,22,13,5,9,7,4,100,66,26,1016,1014,1011,10,10,10,14,6,29,0.00,3,,99
2015-9-25,24,16,8,12,9,7,88,65,28,1017,1015,1013,10,10,10,11,6,,0.00,3,,356
2015-9-26,23,17,11,14,11,9,94,71,38,1020,1018,1017,26,15,10,13,8,,0.00,2,,2
2015-9-27,20,16,12,13,12,11,94,73,49,1025,1022,1020,19,11,10,11,6,32,0.00,4,,72
2015-9-28,19,17,14,12,9,6,82,63,37,1028,1026,1025,31,12,10,14,6,29,0.00,5,,89
2015-9-29,17,14,11,11,8,5,88,69,38,1029,1027,1026,31,11,10,14,8,,0.00,6,Pioggia,329
2015-9-30,18,13,9,10,7,3,100,63,32,1029,1027,1025,23,11,10,13,6,32,0.00,6,Nebbia,59
2015-10-1,16,12,9,9,6,2,82,59,30,1028,1027,1026,19,11,10,14,8,23,0.00,6,,263
2015-10-2,14,12,11,12,11,9,98,88,70,1027,1024,1022,31,9,5,19,10,,0.00,8,Pioggia,348
2015-10-3,16,14,13,14,13,11,100,92,68,1023,1021,1020,26,8,1,11,6,26,0.00,7,Pioggia,31
2015-10-4,20,16,12,14,12,0,100,87,54,1020,1019,1017,26,9,3,14,8,,0.00,5,Nebbia-Pioggia,3
2015-10-5,21,14,8,14,12,9,100,80,47,1019,1017,1015,26,11,2,11,5,,0.00,5,Nebbia-Pioggia,10
2015-10-6,17,16,14,15,14,14,100,92,78,1015,1012,1010,8,4,3,10,3,,0.25,7,Pioggia,164
2015-10-7,22,16,10,15,14,11,100,87,59,1014,1010,1009,31,7,0,11,5,,51.05,3,Nebbia-Temporale,334
2015-10-8,22,17,11,15,13,11,100,82,44,1018,1015,1014,14,10,0,24,11,47,0.00,3,Nebbia-Pioggia-Grandine-Temporale,3
2015-10-9,19,14,11,14,12,11,100,84,57,1019,1017,1016,31,12,10,21,8,,0.00,4,Nebbia,352
2015-10-10,20,16,11,13,12,10,100,81,51,1017,1011,1007,31,12,10,14,8,,0.00,4,Pioggia,315
2015-10-11,21,13,6,12,10,6,100,84,49,1011,1008,1006,19,12,10,11,5,,0.00,2,Nebbia,338
2015-10-12,19,14,8,14,12,9,100,83,56,1015,1014,1011,11,9,6,11,5,,0.25,5,Pioggia,357
2015-10-13,14,13,13,14,13,13,100,96,93,1016,1013,1010,8,3,1,11,5,27,7.11,7,Pioggia,87
2015-10-14,18,12,7,13,11,7,100,84,43,1010,1007,1006,31,10,1,16,8,35,16.00,5,Pioggia-Temporale,40
2015-10-15,13,11,10,11,9,8,100,89,72,1009,1007,1006,26,10,2,26,14,42,17.02,6,Pioggia-Temporale,4
2015-10-16,15,10,6,9,7,5,100,82,45,1017,1013,1009,26,11,10,19,11,,0.00,4,Nebbia-Pioggia,78
2015-10-17,14,8,3,9,7,3,100,86,57,1020,1018,1017,18,9,6,11,6,32,0.00,5,Nebbia,37
2015-10-18,13,9,6,10,9,6,100,90,63,1020,1017,1016,11,6,1,8,3,,0.00,5,Nebbia-Pioggia,117
2015-10-19,16,9,3,9,7,3,100,85,50,1016,1014,1012,18,5,1,13,5,,0.00,6,Nebbia,312
2015-10-20,15,9,4,9,7,4,100,84,49,1019,1017,1016,18,9,5,14,5,,0.00,4,,349
2015-10-21,15,9,2,8,6,3,100,82,46,1020,1017,1016,14,9,5,13,5,,0.00,5,Nebbia,358
2015-10-22,16,9,2,7,4,2,100,81,39,1017,1015,1014,26,10,8,13,6,,0.00,1,Nebbia,53
2015-10-23,17,9,2,8,6,3,100,81,42,1024,1021,1017,14,8,4,11,5,,0.00,3,Nebbia,41
2015-10-24,18,10,3,10,7,3,100,84,43,1025,1023,1021,10,6,3,8,5,,0.00,2,Nebbia,343
2015-10-25,17,11,5,11,9,6,100,88,61,1024,1022,1021,14,8,5,10,3,,0.00,3,Nebbia,343
2015-10-26,19,11,3,12,7,4,100,86,40,1025,1022,1021,19,6,1,11,3,,0.00,1,Nebbia,8
2015-10-27,16,8,1,9,7,2,100,84,52,1022,1021,1020,19,10,7,10,5,,0.00,4,Nebbia,6
2015-10-28,12,11,9,11,10,9,100,96,82,1021,1017,1014,11,5,1,13,6,,2.03,7,Nebbia-Pioggia,360
2015-10-29,16,13,10,12,11,10,100,92,67,1022,1016,1013,19,10,3,14,5,,1.02,6,Nebbia-Pioggia,335
2015-10-30,20,12,5,12,9,6,100,85,51,1027,1024,1022,19,10,0,11,6,,0.51,6,Nebbia,351
2015-10-31,18,11,5,10,7,4,100,81,41,1034,1030,1027,23,10,8,13,6,,0.00,1,Nebbia,30
2015-11-1,18,10,2,9,6,3,100,80,34,1035,1033,1031,14,9,8,13,5,,0.25,,Nebbia,351
2015-11-2,17,8,0,9,5,1,100,84,48,1035,1032,1031,16,7,3,10,5,,0.00,,Nebbia,342
2015-11-3,13,7,0,9,6,1,100,88,59,1032,1029,1027,13,9,6,11,5,,0.00,6,Nebbia-Pioggia,235
2015-11-4,18,11,5,9,7,5,100,80,37,1027,1023,1021,26,10,5,13,5,,0.00,5,Nebbia-Pioggia,262
2015-11-5,18,10,3,10,7,3,100,82,45,1024,1022,1020,14,10,6,13,5,,0.00,1,Nebbia,334
2015-11-6,19,12,4,10,8,4,100,82,43,1028,1025,1023,11,9,8,11,6,,0.00,3,Nebbia,335
2015-11-7,20,12,4,10,7,4,100,81,44,1030,1028,1027,31,16,10,13,6,,0.00,,Nebbia,335
2015-11-8,21,12,3,11,7,4,100,81,39,1031,1030,1029,14,10,8,13,6,,0.00,,Nebbia,339
2015-11-9,19,11,3,11,7,3,100,84,48,1030,1027,1025,14,9,7,13,8,,0.00,,Nebbia,324
2015-11-10,22,12,3,10,7,3,100,82,36,1027,1025,1023,19,9,6,11,5,,0.00,,Nebbia,21
2015-11-11,18,11,3,12,8,4,100,87,55,1027,1024,1023,7,6,1,10,3,,0.00,1,Nebbia,332
2015-11-12,19,11,2,10,7,3,100,83,39,1028,1026,1025,18,7,5,13,6,,0.00,,Nebbia,343
2015-11-13,18,9,1,10,6,2,100,85,52,1029,1027,1025,10,7,4,11,5,,0.00,1,Nebbia,352
2015-11-14,9,6,2,9,7,3,100,100,93,1029,1026,1024,4,1,0,8,3,,0.00,8,Nebbia,109
2015-11-15,12,9,7,9,8,7,100,94,77,1025,1021,1019,4,2,0,13,5,,0.00,7,Nebbia,241
2015-11-16,9,7,4,10,7,5,100,100,96,1022,1020,1018,3,1,0,8,3,26,0.00,6,Nebbia,85
2015-11-17,8,7,6,8,7,6,100,100,97,1023,1021,1019,2,0,0,8,3,,0.00,7,Nebbia,317
2015-11-18,11,8,5,10,7,6,100,99,92,1025,1022,1020,4,1,0,10,3,,0.00,6,Nebbia,111
2015-11-19,11,9,7,10,9,8,100,96,86,1025,1023,1021,5,3,0,13,6,,0.00,8,Nebbia,321
2015-11-20,13,9,6,11,8,6,100,94,75,1021,1012,1000,8,4,0,11,6,,0.00,7,Nebbia,340
2015-11-21,15,9,4,11,4,-10,100,76,15,999,992,988,18,8,1,39,10,48,0.00,6,Nebbia-Pioggia,295
2015-11-22,12,6,-2,4,-3,-12,100,60,10,1011,1003,996,26,11,10,23,8,27,0.00,3,Nebbia,352
2015-11-23,6,2,-1,2,-2,-9,93,67,31,1026,1019,1011,26,11,10,13,8,,0.00,5,,23
2015-11-24,9,2,-6,0,-3,-6,100,71,30,1026,1023,1019,26,13,10,11,5,,0.00,4,,5
2015-11-25,7,2,-3,1,-1,-3,100,84,47,1020,1011,1005,26,9,6,11,5,,0.00,4,,41
2015-11-26,13,4,-6,2,-6,-11,100,55,10,1012,1007,1004,14,7,3,26,11,,0.00,1,Nebbia,358
2015-11-27,12,3,-5,-1,-6,-10,86,57,17,1014,1012,1010,31,22,14,16,8,,0.00,,,338
2015-11-28,9,1,-7,1,-3,-7,100,80,40,1020,1013,1011,26,14,10,11,6,,0.00,6,,333
2015-11-29,9,1,-6,1,-2,-6,100,84,47,1027,1023,1019,14,8,6,13,5,,0.00,4,Nebbia,10
2015-11-30,14,6,-3,6,1,-4,100,77,32,1027,1024,1023,11,8,6,14,10,,0.00,,,323
2015-12-1,14,6,-4,6,2,-4,100,81,43,1028,1025,1023,19,9,4,14,6,,0.00,,,344
2015-12-2,11,4,-2,5,2,-3,100,90,54,1032,1029,1027,5,2,0,11,5,,0.00,6,Nebbia,7
2015-12-3,6,1,-3,5,0,-3,100,100,97,1035,1032,1031,3,0,0,8,2,,0.00,6,Nebbia,166
2015-12-4,4,1,-3,4,1,-2,100,100,98,1036,1034,1032,1,0,0,10,3,,0.00,7,Nebbia,128
2015-12-5,9,6,2,7,6,4,100,96,82,1039,1036,1035,3,2,0,11,6,,0.00,8,Nebbia,315
2015-12-6,7,6,4,6,5,4,100,97,87,1037,1035,1034,4,2,0,10,3,,0.00,7,Nebbia,133
2015-12-7,9,4,1,6,5,1,100,95,80,1039,1037,1035,5,3,2,8,3,,0.00,6,Nebbia,64
2015-12-8,13,7,1,7,4,2,100,90,46,1037,1034,1032,10,3,0,11,5,,0.00,5,Nebbia,264
2015-12-9,6,3,1,6,3,1,100,100,93,1035,1033,1031,6,0,0,8,3,,0.00,4,Nebbia,195
2015-12-10,8,2,-3,7,1,-3,100,98,80,1038,1035,1034,11,4,0,10,3,,0.00,5,Nebbia,251
2015-12-11,8,1,-5,3,-1,-5,100,92,59,1037,1031,1028,19,8,0,10,2,,0.00,1,Nebbia,255
2015-12-12,12,3,-4,4,0,-4,100,81,37,1030,1026,1025,26,12,7,14,5,,0.00,6,,331
2015-12-13,10,7,3,4,3,1,95,80,52,1027,1024,1022,18,9,6,14,5,,0.00,5,,327
2015-12-14,9,4,-1,5,4,-1,100,91,75,1028,1026,1024,8,4,2,8,3,,0.00,6,Nebbia,354
2015-12-15,11,3,-4,4,1,-4,100,87,46,1030,1027,1026,26,7,2,13,6,,0.00,2,Nebbia,345
2015-12-16,4,1,-1,3,1,-1,100,95,87,1030,1029,1028,19,15,10,8,3,,0.00,2,,14
2014-1-1,8,1,-6,-1,-4,-7,100,78,32,1023,1020,1019,31,16,10,11,5,,0.00,3,,359
2014-1-2,3,0,-3,2,1,-1,100,94,89,1020,1018,1016,19,6,1,11,3,,4.06,7,Nebbia-Pioggia-Neve,4
2014-1-3,6,4,2,4,3,2,100,93,81,1023,1021,1018,14,6,2,11,3,,0.00,7,Nebbia,230
2014-1-4,5,4,3,5,3,3,100,95,92,1023,1015,1006,26,5,2,13,6,,20.07,7,Nebbia-Pioggia,359
2014-1-5,11,6,1,7,5,1,100,92,67,1014,1007,1004,26,8,3,13,6,,6.10,7,Nebbia-Pioggia,333
2014-1-6,9,3,-2,3,1,-2,100,80,48,1024,1020,1015,19,10,7,13,6,,0.00,4,Nebbia,345
2014-1-7,12,4,-2,4,1,-3,100,78,44,1028,1025,1022,19,10,10,13,6,,0.00,4,,347
2014-1-8,11,6,-1,3,2,-1,100,80,48,1029,1027,1026,26,14,10,13,8,,0.00,4,,332
2014-1-9,11,6,0,5,3,0,100,84,59,1028,1023,1019,26,11,9,11,6,,0.00,6,,329
2014-1-10,11,8,6,6,4,4,87,78,56,1023,1019,1018,31,11,10,13,5,,0.00,6,,327
2014-1-11,9,6,2,7,6,2,100,92,78,1024,1022,1021,19,5,2,8,3,,0.00,7,,241
2014-1-12,12,5,-2,6,2,-2,100,88,53,1025,1023,1021,10,5,0,11,6,27,0.00,3,Nebbia,49
2014-1-13,6,3,1,5,4,3,100,96,83,1024,1019,1013,4,2,0,13,5,,0.51,7,Nebbia-Pioggia,28
2014-1-14,5,4,3,4,3,2,100,94,87,1013,1008,1005,14,8,3,16,11,,5.08,7,Pioggia,331
2014-1-15,9,3,-2,4,2,-2,100,92,62,1017,1012,1008,14,5,0,11,5,,0.00,5,Nebbia,319
2014-1-16,4,1,-2,4,2,0,100,95,87,1018,1015,1013,26,9,7,14,6,,4.06,7,Nebbia-Pioggia,360
2014-1-17,4,2,1,3,2,1,100,96,92,1013,1010,1009,10,4,0,16,11,,8.89,8,Nebbia-Pioggia-Neve,338
2014-1-18,6,4,3,6,4,3,100,97,90,1012,1009,1006,9,3,1,13,5,,23.88,7,Nebbia-Pioggia,2
2014-1-19,7,6,4,6,5,4,100,97,90,1007,1003,1001,14,8,2,14,8,,10.92,7,Pioggia,352
2014-1-20,8,6,4,7,6,3,100,95,86,1004,1001,1000,13,8,0,11,6,,0.00,6,Nebbia-Pioggia,315
2014-1-21,13,7,0,9,4,0,100,93,60,1009,1005,1002,27,8,0,11,5,,0.00,5,Nebbia,352
2014-1-22,12,6,0,6,3,-1,100,80,55,1015,1012,1009,26,10,4,11,6,,0.00,4,Nebbia,36
2014-1-23,11,6,0,5,3,0,100,84,60,1017,1015,1013,19,10,4,10,6,,0.00,4,Nebbia,346
2014-1-24,11,4,-2,2,-6,-13,100,58,11,1014,1009,1006,19,9,2,39,13,,0.00,2,Nebbia,347
2014-1-25,11,2,-6,-1,-7,-11,93,52,16,1013,1010,1009,19,19,19,14,8,,0.00,,,7
2014-1-26,13,4,-5,-2,-5,-13,93,52,8,1012,1008,1006,19,12,10,23,8,37,0.00,2,,50
2014-1-27,8,3,-1,2,1,-2,100,78,45,1006,1001,998,19,8,4,19,10,,0.00,5,,32
2014-1-28,4,-1,-6,2,-2,-7,100,93,73,1003,1001,999,8,4,0,11,5,,0.00,3,Nebbia,8
2014-1-29,3,-2,-8,1,-2,-8,100,89,62,1011,1004,1000,8,5,2,19,6,,3.05,8,Pioggia-Neve,8
2014-1-30,2,1,0,2,1,0,100,98,93,1012,1008,1006,10,6,1,14,8,,23.88,8,Pioggia-Neve,357
2014-1-31,7,4,1,5,3,2,100,97,87,1016,1011,1007,10,5,1,13,6,26,3.05,7,Nebbia-Pioggia,287
2014-2-1,6,4,2,6,4,2,100,96,92,1015,1010,1006,10,4,1,10,6,,7.87,6,Pioggia,332
2014-2-2,8,6,4,6,5,4,100,93,76,1012,1009,1006,10,7,2,13,6,,0.25,7,Pioggia,325
2014-2-3,7,6,4,7,6,4,100,95,87,1015,1013,1011,19,7,1,13,6,,11.94,7,Nebbia-Pioggia,5
2014-2-4,6,6,5,6,5,5,100,96,93,1017,1015,1014,6,4,0,13,6,26,2.03,8,Nebbia-Pioggia,29
2014-2-5,6,4,3,6,4,2,100,97,92,1016,1011,1008,10,4,0,24,6,,22.10,8,Nebbia-Pioggia,28
2014-2-6,11,4,-1,4,2,-1,100,85,47,1017,1014,1009,14,10,6,11,6,,0.00,6,Nebbia-Pioggia,318
2014-2-7,5,2,-1,5,3,-1,100,95,87,1017,1012,1010,26,8,2,24,8,,23.88,6,Pioggia,345
2014-2-8,6,1,-3,5,2,-2,100,97,87,1012,1008,1003,10,4,0,16,6,,2.03,7,Nebbia-Pioggia,353
2014-2-9,12,7,2,5,3,-1,100,83,51,1007,1003,1000,31,11,3,19,8,,0.00,6,Pioggia,307
2014-2-10,5,3,1,4,2,-1,100,91,75,1007,1004,1001,26,7,3,23,11,,25.91,8,Pioggia-Neve,7
2014-2-11,11,4,-2,4,2,-2,100,89,51,1009,1006,1003,10,5,0,10,5,,0.00,4,Nebbia,87
2014-2-12,16,8,0,3,-1,-9,100,68,10,1013,1009,1006,31,15,10,19,11,29,0.00,2,,343
2014-2-13,7,3,-1,3,0,-4,100,81,45,1014,1009,1005,19,9,2,16,8,,7.11,5,Pioggia,346
2014-2-14,14,5,-4,2,-2,-5,100,68,17,1017,1012,1006,10,10,10,13,8,,0.00,3,,326
2014-2-15,8,4,-1,4,2,-2,87,74,52,1018,1016,1015,31,12,10,13,6,,0.00,6,,352
2014-2-16,7,6,5,7,5,3,100,92,74,1017,1015,1012,23,5,1,10,5,,1.02,8,Pioggia,347
2014-2-17,10,8,5,7,6,4,100,91,75,1021,1014,1010,19,9,4,13,6,,0.00,6,Nebbia-Pioggia,354
2014-2-18,12,7,1,7,6,2,100,88,57,1023,1021,1019,19,8,2,16,5,,0.76,4,Nebbia-Pioggia,356
2014-2-19,9,7,4,7,6,4,100,92,82,1020,1014,1011,26,10,5,16,10,,7.11,7,Pioggia,343
2014-2-20,11,4,-2,7,4,-1,100,90,61,1017,1015,1012,26,11,3,11,6,,0.25,4,Nebbia,248
2014-2-21,12,7,2,6,4,2,100,83,49,1016,1012,1010,14,9,1,11,5,,0.00,4,Nebbia,271
2014-2-22,16,7,-1,5,-3,-11,100,55,8,1019,1013,1010,31,9,1,26,10,,0.00,5,Nebbia,349
2014-2-23,13,6,-2,6,2,-2,100,76,44,1025,1022,1019,31,14,10,13,8,,0.00,2,Nebbia,76
2014-2-24,14,6,-3,2,-1,-3,100,66,24,1026,1022,1020,14,13,11,13,8,,0.00,,,323
2014-2-25,13,5,-3,3,-1,-4,93,65,24,1023,1019,1018,31,12,8,11,6,,0.00,5,,32
2014-2-26,6,4,2,5,4,2,100,91,81,1021,1019,1018,14,7,3,21,10,,13.97,7,Pioggia-Temporale,347
2014-2-27,9,7,3,5,4,3,100,87,69,1023,1020,1016,26,11,5,11,6,,0.00,6,Nebbia-Pioggia,30
2014-2-28,7,3,0,5,4,0,100,91,75,1017,1009,1002,6,4,3,19,5,,4.06,6,Nebbia-Pioggia,11
2014-3-1,6,4,3,5,3,2,100,90,72,1003,999,996,26,8,3,29,16,,13.97,7,Pioggia,358
2014-3-2,13,8,4,5,4,3,100,79,42,1004,1000,997,26,13,10,19,10,,0.00,6,Pioggia,254
2014-3-3,11,7,4,7,5,3,100,88,61,1003,997,994,26,10,7,19,6,29,2.03,7,Pioggia,358
2014-3-4,15,9,3,6,4,0,100,74,37,1005,997,993,31,12,8,21,13,34,4.06,6,Pioggia,337
2014-3-5,16,8,-1,4,1,-6,100,61,27,1016,1011,1005,31,15,10,19,8,,0.00,1,,320
2014-3-6,18,11,3,0,-4,-8,70,34,9,1024,1020,1016,10,10,10,21,11,39,0.00,6,,346
2014-3-7,17,9,1,2,-1,-3,87,54,17,1026,1023,1020,,,,14,10,,0.00,,,325
2014-3-8,16,8,1,5,2,-1,93,67,29,1032,1028,1024,11,9,8,16,8,37,0.00,,,28
2014-3-9,17,8,0,5,2,-1,100,69,29,1033,1029,1026,11,7,5,11,8,26,0.00,,,345
2014-3-10,14,7,-1,3,1,-2,93,67,27,1028,1024,1020,14,8,4,19,6,32,0.00,3,Nebbia,48
2014-3-11,14,7,1,4,2,-1,93,67,34,1030,1025,1022,18,10,6,11,6,,0.00,,,59
2014-3-12,17,8,-1,5,2,-1,93,64,23,1032,1030,1028,13,7,5,16,8,,0.00,,,313
2014-3-13,18,9,-1,4,2,-1,93,62,27,1031,1028,1025,11,8,6,11,6,32,0.00,,,21
2014-3-14,19,10,1,5,3,0,93,64,27,1028,1025,1022,8,7,6,14,8,,0.00,,,330
2014-3-15,18,10,1,6,4,0,93,67,26,1024,1017,1012,26,9,6,16,8,,0.00,5,,312
2014-3-16,24,13,3,7,4,0,93,55,20,1017,1015,1013,10,6,2,19,10,,0.00,,,276
2014-3-17,26,14,3,11,3,-6,87,47,12,1020,1017,1015,,,,16,10,,0.00,,,265
2014-3-18,18,10,2,10,8,1,100,77,49,1021,1019,1016,10,8,5,19,5,,0.00,1,Nebbia,184
2014-3-19,23,13,4,11,7,1,100,65,18,1024,1019,1017,11,7,5,19,6,32,0.00,,Nebbia,286
2014-3-20,19,12,6,11,8,5,100,77,46,1027,1025,1023,7,4,2,16,8,37,0.00,2,Nebbia,65
2014-3-21,18,11,3,10,7,4,100,77,45,1024,1020,1017,10,5,2,19,5,,0.00,3,Nebbia,188
2014-3-22,13,11,9,10,9,8,100,83,67,1017,1011,1004,10,6,3,23,8,29,2.03,6,Pioggia,120
2014-3-23,10,8,5,8,3,-6,100,76,32,1005,1001,1000,10,8,3,37,18,61,10.92,7,Pioggia,352
2014-3-24,15,10,4,2,-6,-12,81,35,8,1011,1006,1003,10,10,8,39,18,45,0.00,4,Pioggia,358
2014-3-25,11,6,0,4,0,-4,87,63,28,1011,1008,1006,14,10,8,16,10,34,1.02,5,Pioggia,62
2014-3-26,10,7,4,5,3,2,94,80,53,1014,1011,1008,14,10,9,23,13,,0.51,6,Pioggia,348
2014-3-27,14,9,4,4,3,0,93,69,32,1013,1010,1008,10,10,10,16,11,,0.25,6,Pioggia,334
2014-3-28,18,9,-1,4,1,-2,93,58,22,1021,1015,1011,10,10,10,14,6,,0.25,,,357
2014-3-29,19,10,1,4,2,0,87,55,19,1023,1022,1020,14,11,10,14,8,39,0.00,2,,4
2014-3-30,20,12,3,4,3,0,81,54,22,1023,1019,1016,14,10,9,14,10,,0.00,,,336
2014-3-31,21,11,2,5,3,1,93,58,20,1018,1015,1013,10,10,10,14,6,,0.00,,,269
2014-4-1,18,11,3,10,6,1,93,70,44,1016,1014,1013,10,10,10,19,6,,0.00,3,,189
2014-4-2,18,11,5,10,8,5,93,77,50,1016,1014,1012,10,10,10,13,5,,0.00,4,,207
2014-4-3,16,11,6,10,8,5,100,78,54,1014,1012,1010,10,9,6,8,3,24,0.00,5,,38
2014-4-4,16,11,6,10,9,6,100,79,52,1010,1008,1006,10,6,3,16,6,,0.00,6,Nebbia,231
2014-4-5,21,14,7,10,9,7,100,72,45,1016,1011,1008,10,6,3,23,8,,0.00,5,,78
2014-4-6,22,14,6,10,8,5,94,66,28,1019,1016,1015,11,10,9,13,6,,0.00,3,,258
2014-4-7,23,14,6,9,7,5,87,59,27,1021,1019,1017,19,15,10,13,6,,0.00,6,,38
2014-4-8,20,13,7,12,9,6,94,74,44,1020,1017,1015,19,12,10,13,5,,0.00,5,,167
2014-4-9,22,13,4,9,-1,-9,100,37,5,1019,1017,1015,19,16,10,26,10,47,0.00,,Nebbia,27
2014-4-10,22,14,6,8,5,2,87,55,20,1021,1017,1014,19,19,19,19,10,,0.00,,,291
2014-4-11,21,12,4,10,7,3,93,63,27,1018,1016,1014,19,13,8,14,6,37,0.00,4,,103
2014-4-12,20,16,11,10,7,4,77,57,35,1018,1016,1014,19,11,10,13,6,29,0.00,4,,112
2014-4-13,21,16,10,10,9,7,87,63,35,1019,1017,1015,14,11,10,11,6,24,0.00,4,,112
2014-4-14,23,16,9,12,9,7,94,69,28,1018,1014,1009,14,10,8,23,8,,0.00,5,,226
2014-4-15,19,12,5,11,-6,-12,100,30,5,1018,1013,1010,11,10,8,39,18,61,0.00,,Nebbia,40
2014-4-16,18,9,0,2,-4,-9,70,36,10,1023,1020,1017,11,11,11,16,10,,0.00,,,85
2014-4-17,18,9,0,0,-3,-6,75,41,11,1023,1018,1014,31,19,11,13,8,,0.00,,,69
2014-4-18,17,9,1,8,1,-2,82,54,21,1015,1009,1004,31,13,10,26,5,,0.00,6,Pioggia-Temporale,80
2014-4-19,11,8,4,7,6,4,93,84,65,1009,1006,1004,19,10,4,34,23,53,0.00,7,Pioggia-Temporale,352
2014-4-20,18,10,2,10,7,3,100,73,40,1009,1006,1005,19,12,10,16,5,,0.76,5,Nebbia-Pioggia,214
2014-4-21,12,11,10,11,10,9,100,93,84,1010,1007,1006,26,10,2,14,8,,6.10,7,Pioggia,11
2014-4-22,19,13,8,11,9,7,100,77,41,1016,1013,1010,26,13,10,14,8,,0.00,5,,287
2014-4-23,22,14,6,11,9,5,100,69,39,1018,1017,1015,26,18,10,13,6,,0.00,2,Nebbia,318
2014-4-24,24,16,7,12,9,7,100,63,28,1017,1014,1012,26,21,10,16,8,29,0.00,,Nebbia,284
2014-4-25,23,17,9,11,9,6,94,62,22,1013,1011,1008,26,19,10,14,8,,0.00,4,,328
